Eccentricity (mm),GC (x1000) / mm^2
0,0
0.055072464,0.135310225
0.089855072,0.410205036
0.142028986,1.513791491
0.188405797,4.000133574
0.292753623,10.90776731
0.391304348,16.61751152
0.489855072,21.22126494
0.594202899,22.50677887
0.692753623,24.16122354
0.791304348,25.53917051
0.901449275,26.82441728
0.994202899,26.91230882
1.504347826,22.8335003
2.014492754,16.17404662
2.51884058,11.35817805
3.028985507,7.924530822
4.002898551,3.916516396
