Eccentricity,Thickness
-2.49216582064298,40.3334930768661
-2.39106598984772,40.7800036747868
-2.29401015228426,41.3495709549235
-2.18886632825719,42.0826676210143
-2.09585448392555,42.6523987582511
-1.9987986463621,42.9761803881562
-1.88961082910321,43.1356133466065
-1.79659898477157,43.4595588336117
-1.69752115059222,43.6194014348123
-1.59844331641286,43.6153869358585
-1.49329949238579,43.4882338261387
-1.39624365482233,43.279479880542
-1.29918781725888,43.0297616599067
-1.19404399323181,42.6158586249167
-1.09294416243655,41.5466910464093
-0.999932318104907,40.2320655318705
-0.898832487309644,37.7701126020507
-0.797732656514382,35.7178024226169
-0.69663282571912,32.3955997169866
-0.597554991539763,29.4421574152536
-0.502521150592216,25.8744148450419
-0.401421319796954,21.282319613215
-0.300321489001691,15.5432246803072
-0.20326565143824,7.83800840264694
-0.098121827411167,1.85296396240747
0.002978003384095,1.02958203413164
0.095989847715737,2.09088447183164
0.197089678510999,8.39528640027203
0.302233502538072,17.3212380740826
0.399289340101523,22.5607327086196
0.500389170896786,27.636206385902
0.597445008460237,31.3190585689722
0.6985448392555,35.2475325451738
0.799644670050762,38.1928639204491
0.892656514382404,40.1553804089983
1.00184433164129,42.4449556694557
1.09890016920474,44.1615226506731
1.19595600676819,45.0588041311186
1.29705583756345,45.8330289293481
1.39815566835872,45.8289325018442
1.49116751269036,45.7022709634249
1.59631133671743,45.6980106788209
1.7014551607445,45.0383219935993
1.79851099830795,44.1331753723464
1.8955668358714,43.3918858512479
1.99262267343486,42.6505963301494
2.09372250423012,41.7452858517964
2.19886632825719,40.9217400664204
2.29187817258883,40.1396501273835
2.38691201353638,39.4803710849123
2.49407783417936,39.1073503964108
